,RunId,iteration,Step,num_ants,num_sticks,neighType,stick_min,stick_max,width,height,Average,Median,AgentID,Sticks
70,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,69.0,3.0
71,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,70.0,1.0
72,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,71.0,2.0
73,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,72.0,1.0
74,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,73.0,2.0
75,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,74.0,2.0
76,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,75.0,3.0
77,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,76.0,2.0
78,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,77.0,2.0
79,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,78.0,3.0
80,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,79.0,1.0
81,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,80.0,2.0
82,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,81.0,3.0
83,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,82.0,1.0
84,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,83.0,3.0
85,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,84.0,3.0
86,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,85.0,2.0
87,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,86.0,2.0
88,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,87.0,2.0
89,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,88.0,2.0
90,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,89.0,1.0
91,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,90.0,1.0
92,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,91.0,1.0
93,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,92.0,1.0
94,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,93.0,3.0
95,0,0,50,1,100,VN,5,15,10,10,2.04,2.0,94.0,3.0
